Protein,Partition_type,Curve_type,p_value,test_statistic,test_result,is_significant
GAB2,quarter,Disease_Free,0.878262977301,0.0234615297149,Cannot Reject Null,False
GATA3,half,Overall,0.125129384666,2.35191280777,Cannot Reject Null,False
GATA3,quarter,Overall,0.268725656507,1.22324040973,Cannot Reject Null,False
GATA3,half,Disease_Free,0.614374911347,0.253853175639,Cannot Reject Null,False
GATA3,quarter,Disease_Free,0.541090837759,0.373521759673,Cannot Reject Null,False
GSK3-alpha-beta,half,Overall,0.855021863682,0.0333846696608,Cannot Reject Null,False
GSK3-alpha-beta,quarter,Overall,0.967737103041,0.00163592503208,Cannot Reject Null,False
GSK3-alpha-beta,half,Disease_Free,0.636895182072,0.222825803286,Cannot Reject Null,False
GSK3-alpha-beta,quarter,Disease_Free,0.995171018257,3.66299483892e-05,Cannot Reject Null,False
GSK3-alpha-beta_pS21_S9,half,Overall,0.049577524332,3.85569021151,Reject Null,True
GSK3-alpha-beta_pS21_S9,quarter,Overall,3.87844076666e-05,16.9299689638,Reject Null,True
GSK3-alpha-beta_pS21_S9,half,Disease_Free,0.677200024526,0.173294843166,Cannot Reject Null,False
GSK3-alpha-beta_pS21_S9,quarter,Disease_Free,0.73229576487,0.117014111087,Cannot Reject Null,False
HER2,half,Overall,0.0525746542674,3.75738775992,Cannot Reject Null,False
HER2,quarter,Overall,0.0534543844604,3.72965653467,Cannot Reject Null,False
HER2,half,Disease_Free,0.527303729038,0.399584862493,Cannot Reject Null,False
HER2,quarter,Disease_Free,0.589695829307,0.29081953774,Cannot Reject Null,False
HER2_pY1248,half,Overall,0.0967468637314,2.75836836598,Cannot Reject Null,False
HER2_pY1248,quarter,Overall,0.223929188909,1.47901186687,Cannot Reject Null,False
HER2_pY1248,half,Disease_Free,0.658207403305,0.195708436106,Cannot Reject Null,False
HER2_pY1248,quarter,Disease_Free,0.495123417241,0.465373269031,Cannot Reject Null,False
HER3,half,Overall,0.779513607825,0.0783736503116,Cannot Reject Null,False
HER3,quarter,Overall,0.377644075502,0.778357076779,Cannot Reject Null,False
HER3,half,Disease_Free,0.856939731372,0.0324976747547,Cannot Reject Null,False
HER3,quarter,Disease_Free,0.815417948708,0.0544953200532,Cannot Reject Null,False
HER3_pY1289,half,Overall,0.820789213041,0.0513158501764,Cannot Reject Null,False
HER3_pY1289,quarter,Overall,0.53053171926,0.39337299591,Cannot Reject Null,False
